GSTIN,Transaction_Amount,Tax_Amount,ITC_Claimed,Transaction_Frequency,Filing_Delay,Invoice_Mismatch,Return_Filing_Status,Business_Type,Previous_Fraud_History,Fraud_Label
1034,196339,35341.02,66585.45,68,13,Yes,Delayed,Wholesaler,Yes,1
1035,60290,10852.2,20797.98,56,11,Yes,Delayed,Wholesaler,Yes,1
1036,143669,25860.42,33723.47,37,7,Yes,Delayed,Wholesaler,No,1
1037,280931,50567.58,35652.17,12,1,Yes,Delayed,Manufacturer,No,0
1038,456546,82178.28,79908.3,7,1,No,Delayed,Retailer,No,0
1039,189526,34114.68,29815.43,13,2,No,Delayed,Retailer,No,0
1040,324286,58371.48,48212.26,28,4,No,Delayed,Manufacturer,No,0
1041,452632,81473.76,57314.6,28,3,No,Delayed,Wholesaler,No,0
1042,152312,27416.16,21493.65,13,3,No,Delayed,Manufacturer,No,0
1043,353912,63704.16,50486.45,26,0,Yes,On_Time,Wholesaler,No,0
1044,45292,8152.56,15117.59,59,7,Yes,Delayed,Service,Yes,1
1045,368142,66265.56,58609.97,20,3,No,Delayed,Retailer,No,0
1046,470796,84743.28,71783.25,13,3,No,Delayed,Retailer,No,0
1047,492604,88668.72,79309.39,12,3,No,Delayed,Service,No,0
1048,298793,53782.74,40130.04,26,4,No,Delayed,Manufacturer,No,0
1049,350146,63026.28,48308.47,11,3,No,Delayed,Retailer,No,0
1050,280914,50564.52,44629.4,6,1,No,Delayed,Retailer,Yes,0
1051,314214,56558.52,82930.33,51,13,Yes,Delayed,Service,Yes,1
1052,145450,26181.0,32098.47,30,13,Yes,Delayed,Wholesaler,Yes,1
1053,83869,15096.42,24904.6,49,12,Yes,Delayed,Service,Yes,1
1054,420925,75766.5,86718.33,37,8,Yes,Delayed,Retailer,Yes,1
1055,275972,49674.96,42729.09,14,2,No,Delayed,Retailer,No,0
1056,253236,45582.48,61814.68,46,12,Yes,Delayed,Service,No,1
1057,340792,61342.56,43449.37,15,2,No,Delayed,Manufacturer,No,0
1058,202512,36452.16,29495.79,23,3,No,Delayed,Retailer,No,0
1059,213196,38375.28,30186.93,17,1,Yes,Delayed,Retailer,No,0
1060,385960,69472.8,61010.48,27,4,No,Delayed,Service,No,0
1061,295521,53193.78,41058.92,8,0,No,On_Time,Service,No,0
1062,44542,8017.56,6552.79,24,0,No,On_Time,Manufacturer,No,0
1063,417592,75166.56,146390.87,58,13,Yes,Delayed,Manufacturer,No,1
1064,346781,62420.58,54811.94,26,0,No,On_Time,Retailer,No,0
1065,266453,47961.54,35192.08,6,4,No,Delayed,Service,No,0
1066,294929,53087.22,37335.07,16,2,No,Delayed,Service,No,0
1067,172777,31099.86,29695.32,21,0,No,On_Time,Manufacturer,No,0
1068,282660,50878.8,87676.56,47,8,Yes,Delayed,Service,Yes,1
1069,216821,39027.78,35941.3,16,1,No,Delayed,Retailer,No,0
1070,49758,8956.44,15973.06,52,12,Yes,Delayed,Service,Yes,1
1071,338821,60987.78,105815.46,62,12,Yes,Delayed,Manufacturer,Yes,1
1072,485142,87325.56,64614.48,28,0,No,On_Time,Retailer,No,0
1073,127961,23032.98,20288.15,7,2,No,Delayed,Retailer,No,0
1074,268864,48395.52,57645.55,34,12,Yes,Delayed,Manufacturer,Yes,1
1075,105040,18907.2,13792.28,21,4,Yes,Delayed,Service,No,0
1076,370890,66760.2,56675.11,17,3,No,Delayed,Service,No,0
1077,213199,38375.82,56517.42,35,9,Yes,Delayed,Manufacturer,No,1
1078,163124,29362.32,28412.66,9,2,No,Delayed,Retailer,No,0
1079,409560,73720.8,71916.39,17,2,Yes,Delayed,Service,No,0
1080,177647,31976.46,25431.15,8,4,No,Delayed,Retailer,No,0
1081,18556,3340.08,5964.42,52,7,Yes,Delayed,Wholesaler,No,1
1082,197954,35631.72,26709.82,25,3,No,Delayed,Retailer,No,0
1083,478466,86123.88,64271.48,28,4,No,Delayed,Service,No,0
1084,154355,27783.9,22574.36,21,2,No,Delayed,Manufacturer,No,0
1085,185767,33438.06,29217.67,9,4,No,Delayed,Retailer,No,0
1086,249779,44960.22,42889.53,25,1,No,Delayed,Retailer,No,0
1087,86021,15483.78,11405.08,15,3,No,Delayed,Service,No,0
1088,76093,13696.74,9719.88,10,0,No,On_Time,Retailer,No,0
1089,48635,8754.3,15575.29,35,11,Yes,Delayed,Service,Yes,1
1090,394957,71092.26,64928.81,19,2,No,Delayed,Retailer,No,0
1091,46304,8334.72,7854.32,18,2,No,Delayed,Wholesaler,No,0
1092,431614,77690.52,66859.54,17,2,No,Delayed,Manufacturer,No,0
1093,280160,50428.8,84527.67,62,12,Yes,Delayed,Service,No,1
1094,131668,23700.24,19977.43,18,4,No,Delayed,Manufacturer,No,0
1095,259877,46777.86,80408.79,32,10,Yes,Delayed,Service,Yes,1
1096,323295,58193.1,54093.01,13,2,No,Delayed,Retailer,No,0
1097,299954,53991.72,52878.94,12,1,No,Delayed,Manufacturer,No,0
1098,416082,74894.76,67899.85,29,4,No,Delayed,Manufacturer,No,0
1099,350615,63110.7,57765.12,13,0,No,On_Time,Service,No,0
1100,234790,42262.2,35353.84,18,3,No,Delayed,Service,No,0
1101,259415,46694.7,34137.54,17,4,No,Delayed,Manufacturer,No,0
1102,215157,38728.26,30358.25,12,0,No,On_Time,Manufacturer,No,0
1103,484469,87204.42,62269.47,6,1,No,Delayed,Service,No,0
1104,271570,48882.6,45215.19,18,2,No,Delayed,Service,No,0
1105,340048,61208.64,97571.62,59,9,Yes,Delayed,Manufacturer,Yes,1
1106,492616,88670.88,80929.13,21,1,No,Delayed,Manufacturer,No,0
1107,35235,6342.3,5651.83,18,1,No,Delayed,Service,No,0
1108,238174,42871.32,68476.25,33,11,Yes,Delayed,Service,Yes,1
1109,415453,74781.54,70814.96,28,1,No,Delayed,Manufacturer,No,0
1110,361822,65127.96,47463.27,21,1,No,Delayed,Retailer,No,0
1111,299061,53830.98,51182.68,28,1,No,Delayed,Wholesaler,No,0
1112,264840,47671.2,34473.92,15,0,No,On_Time,Service,No,0
1113,409009,73621.62,101746.05,65,6,Yes,Delayed,Manufacturer,Yes,1
1114,189767,34158.06,67211.81,66,5,Yes,Delayed,Retailer,Yes,1
1115,102122,18381.96,17212.68,27,1,No,Delayed,Retailer,No,0
1116,25372,4566.96,5775.04,53,5,Yes,Delayed,Manufacturer,No,1
1117,88356,15904.08,24299.3,48,9,Yes,Delayed,Retailer,Yes,1
1118,483958,87112.44,73184.23,13,2,No,Delayed,Service,No,0
1119,133106,23959.08,34329.33,36,13,Yes,Delayed,Wholesaler,Yes,1
1120,36654,6597.72,5947.86,13,0,No,On_Time,Service,No,0
1121,192240,34603.2,62860.75,52,6,Yes,Delayed,Wholesaler,No,1
1122,319521,57513.78,101419.05,35,9,Yes,Delayed,Service,Yes,1
1123,346227,62320.86,45113.79,15,2,No,Delayed,Retailer,No,0
1124,459076,82633.68,64034.98,25,1,No,Delayed,Wholesaler,No,0
1125,46609,8389.62,5918.14,8,1,No,Delayed,Service,No,0
1126,241440,43459.2,41446.97,24,4,No,Delayed,Wholesaler,No,0
1127,287337,51720.66,88431.37,49,11,Yes,Delayed,Service,Yes,1
1128,218475,39325.5,77802.06,56,10,Yes,Delayed,Service,Yes,1
1129,258552,46539.36,34143.97,10,4,No,Delayed,Wholesaler,No,0
1130,324099,58337.82,51320.99,16,2,No,Delayed,Manufacturer,No,0
1131,74110,13339.8,11861.25,15,0,No,On_Time,Service,No,0
1132,250853,45153.54,33533.36,12,2,No,Delayed,Retailer,No,0
1133,303275,54589.5,45448.61,27,3,No,Delayed,Wholesaler,No,0
1134,108934,19608.12,18036.59,24,1,No,Delayed,Retailer,No,0
1135,354296,63773.28,81915.7,55,11,Yes,Delayed,Wholesaler,Yes,1
1136,368906,66403.08,57234.38,15,4,No,Delayed,Wholesaler,No,0
1137,279150,50247.0,44657.35,15,0,No,On_Time,Manufacturer,No,0
1138,33989,6118.02,5087.73,19,0,No,On_Time,Service,No,0
1139,134932,24287.76,20383.44,13,2,No,Delayed,Wholesaler,No,0
1140,447985,80637.3,106256.09,50,9,Yes,Delayed,Wholesaler,No,1
1141,311265,56027.7,89205.83,42,7,Yes,Delayed,Wholesaler,Yes,1
1142,403708,72667.44,51884.13,5,0,Yes,On_Time,Service,No,0
1143,64110,11539.8,8859.72,10,0,No,On_Time,Manufacturer,No,0
1144,258503,46530.54,41844.1,29,3,No,Delayed,Service,No,0
1145,311014,55982.52,40333.33,26,1,Yes,Delayed,Manufacturer,No,0
1146,297516,53552.88,51100.78,6,0,Yes,On_Time,Manufacturer,No,0
1147,60081,10814.58,9863.4,17,1,No,Delayed,Wholesaler,No,0
1148,466285,83931.3,73806.86,11,0,No,On_Time,Manufacturer,No,0
1149,458604,82548.72,69315.4,13,4,No,Delayed,Wholesaler,No,0
1150,484267,87168.06,66598.97,15,4,No,Delayed,Service,No,0
1151,161094,28996.92,50917.88,56,10,Yes,Delayed,Wholesaler,Yes,1
1152,489083,88034.94,77953.31,14,3,No,Delayed,Manufacturer,No,0
1153,65841,11851.38,11591.97,29,4,No,Delayed,Manufacturer,No,0
1154,118125,21262.5,20351.6,21,2,No,Delayed,Service,No,0
1155,116611,20989.98,30387.0,56,6,Yes,Delayed,Retailer,Yes,1
1156,165801,29844.18,28564.07,24,1,No,Delayed,Wholesaler,No,0
1157,44681,8042.58,7783.36,26,1,No,Delayed,Retailer,No,0
1158,350676,63121.68,110288.97,50,7,Yes,Delayed,Service,No,1
1159,109003,19620.54,16097.26,27,1,No,Delayed,Retailer,No,0
1160,184870,33276.6,27731.85,19,1,No,Delayed,Service,No,0
1161,183423,33016.14,26176.45,11,3,No,Delayed,Retailer,No,0
1162,485406,87373.08,82677.57,5,2,No,Delayed,Wholesaler,No,0
1163,171980,30956.4,27968.79,28,1,No,Delayed,Manufacturer,No,0
1164,147686,26583.48,18946.39,24,4,No,Delayed,Retailer,No,0
1165,178616,32150.88,22505.72,29,3,No,Delayed,Wholesaler,No,0
1166,229526,41314.68,53015.85,50,8,Yes,Delayed,Wholesaler,Yes,1
1167,347859,62614.62,60781.06,10,2,No,Delayed,Manufacturer,No,0
1168,163484,29427.12,24081.28,22,4,No,Delayed,Retailer,No,0
1169,492488,88647.84,71260.76,19,3,Yes,Delayed,Wholesaler,No,0
1170,493637,88854.66,76892.92,21,2,No,Delayed,Retailer,No,0
1171,374986,67497.48,52332.52,13,0,Yes,On_Time,Service,No,0
1172,78368,14106.24,12250.35,24,0,No,On_Time,Retailer,No,0
1173,269904,48582.72,43645.6,23,3,Yes,Delayed,Retailer,No,0
1174,292727,52690.86,39542.11,11,2,No,Delayed,Wholesaler,No,0
1175,436150,78507.0,73649.93,29,0,No,On_Time,Wholesaler,No,0
1176,31644,5695.92,4327.48,24,3,No,Delayed,Retailer,No,0
1177,35675,6421.5,5701.62,17,0,No,On_Time,Retailer,No,0
1178,322863,58115.34,46981.98,8,1,No,Delayed,Service,No,0
1179,291063,52391.34,95236.59,62,6,Yes,Delayed,Manufacturer,Yes,1
1180,488108,87859.44,81603.49,29,0,Yes,On_Time,Manufacturer,No,0
1181,311338,56040.84,46796.01,12,4,Yes,Delayed,Retailer,No,0
1182,307675,55381.5,42282.87,15,1,No,Delayed,Manufacturer,No,0
1183,37798,6803.64,9422.32,51,7,Yes,Delayed,Service,Yes,1
1184,399570,71922.6,134179.68,48,7,Yes,Delayed,Wholesaler,Yes,1
1185,116464,20963.52,17896.15,25,2,No,Delayed,Service,No,0
1186,291696,52505.28,43083.27,18,4,No,Delayed,Wholesaler,No,0
1187,255809,46045.62,68584.5,48,10,Yes,Delayed,Wholesaler,Yes,1
1188,411062,73991.16,71360.45,17,3,No,Delayed,Manufacturer,No,0
1189,491494,88468.92,72290.92,26,4,No,Delayed,Wholesaler,No,0
1190,483918,87105.24,71510.38,29,1,No,Delayed,Wholesaler,No,0
1191,420117,75621.06,64533.48,13,4,No,Delayed,Wholesaler,No,0
1192,390634,70314.12,110233.83,36,7,Yes,Delayed,Retailer,Yes,1
1193,376081,67694.58,91977.68,39,10,No,Delayed,Service,Yes,1
1194,497642,89575.56,64598.62,10,3,No,Delayed,Manufacturer,No,0
1195,71842,12931.56,11310.22,19,1,No,Delayed,Service,No,0
1196,400277,72049.86,55496.41,14,0,No,On_Time,Manufacturer,No,0
1197,440179,79232.22,60998.26,6,4,No,Delayed,Retailer,No,0
1198,196633,35393.94,58436.54,51,7,Yes,Delayed,Retailer,Yes,1
1199,365171,65730.78,113781.67,54,5,Yes,Delayed,Wholesaler,Yes,1
1200,263091,47356.38,92140.66,39,8,Yes,Delayed,Retailer,Yes,1
1201,427567,76962.06,58499.4,10,0,No,On_Time,Service,No,0
1202,423090,76156.2,72288.68,25,0,No,On_Time,Wholesaler,No,0
1203,143498,25829.64,23312.94,23,3,No,Delayed,Retailer,No,0
1204,276161,49708.98,86625.23,69,11,Yes,Delayed,Wholesaler,No,1
1205,105667,19020.06,13387.25,5,0,No,On_Time,Service,No,0
1206,122935,22128.3,17688.5,22,2,No,Delayed,Wholesaler,No,0
1207,415841,74851.38,60196.69,27,1,No,Delayed,Service,No,0
1208,410826,73948.68,57630.08,28,2,No,Delayed,Service,No,0
1209,485738,87432.84,73968.68,23,1,No,Delayed,Service,No,0
1210,18024,3244.32,2574.08,5,4,No,Delayed,Manufacturer,No,0
1211,373265,67187.7,58887.95,15,2,No,Delayed,Retailer,No,0
1212,497025,89464.5,78890.71,9,3,No,Delayed,Service,No,0
1213,318362,57305.16,49722.35,17,3,No,Delayed,Service,No,0
1214,39493,7108.74,5032.47,19,0,No,On_Time,Manufacturer,No,0
1215,378760,68176.8,52691.55,10,4,No,Delayed,Wholesaler,No,0
1216,123499,22229.82,19695.21,11,2,No,Delayed,Wholesaler,No,0
1217,260819,46947.42,36664.64,8,3,No,Delayed,Manufacturer,No,0
1218,329764,59357.52,53891.2,24,0,No,On_Time,Manufacturer,No,0
1219,251503,45270.54,41657.05,18,1,No,Delayed,Manufacturer,No,0
1220,434032,78125.76,108340.75,38,10,Yes,Delayed,Service,Yes,1
1221,233861,42094.98,38830.77,27,0,No,On_Time,Wholesaler,No,0
1222,16968,3054.24,2149.3,13,4,No,Delayed,Wholesaler,No,0
1223,447805,80604.9,65108.21,20,4,No,Delayed,Service,No,0
1224,133364,24005.52,21726.73,22,0,No,On_Time,Wholesaler,No,0
1225,475833,85649.94,81098.97,14,3,No,Delayed,Service,No,0
1226,382251,68805.18,54155.23,11,2,No,Delayed,Wholesaler,No,0
1227,394583,71024.94,141170.73,38,5,Yes,Delayed,Service,Yes,1
1228,244473,44005.14,32919.11,22,1,No,Delayed,Wholesaler,No,0
1229,210796,37943.28,59922.06,42,5,Yes,Delayed,Wholesaler,No,1
1230,94607,17029.26,16595.39,21,4,No,Delayed,Manufacturer,No,0
1231,171081,30794.58,47947.92,30,5,Yes,Delayed,Manufacturer,No,1
1232,60940,10969.2,8931.93,25,2,No,Delayed,Manufacturer,No,0
1233,246187,44313.66,39671.23,28,0,No,On_Time,Retailer,No,0
1234,479490,86308.2,63494.2,26,0,No,On_Time,Retailer,No,0
1235,128696,23165.28,21940.23,7,2,No,Delayed,Manufacturer,No,0
1236,33185,5973.3,5689.55,20,1,No,Delayed,Service,No,0
1237,365054,65709.72,55964.51,8,3,No,Delayed,Service,Yes,0
1238,451153,81207.54,68518.3,26,3,Yes,Delayed,Wholesaler,No,0
1239,430162,77429.16,58972.46,26,2,No,Delayed,Retailer,No,0
1240,360067,64812.06,46190.87,15,2,No,Delayed,Service,No,0
1241,450880,81158.4,116536.73,60,6,Yes,Delayed,Service,Yes,1
1242,364211,65557.98,117339.84,66,11,Yes,Delayed,Retailer,Yes,1
1243,73972,13314.96,17129.94,58,11,Yes,Delayed,Manufacturer,Yes,1
1244,438956,79012.08,58818.97,20,2,No,Delayed,Wholesaler,No,0
1245,316660,56998.8,48543.65,14,3,No,Delayed,Wholesaler,No,0
1246,454943,81889.74,104985.0,69,6,Yes,Delayed,Wholesaler,No,1
1247,120986,21777.48,16390.12,21,1,No,Delayed,Service,No,0
1248,408102,73458.36,124406.12,61,5,Yes,Delayed,Wholesaler,Yes,1
1249,194514,35012.52,68105.01,59,5,Yes,Delayed,Manufacturer,No,1
1250,271497,48869.46,66003.67,56,8,Yes,Delayed,Retailer,Yes,1
1251,315539,56797.02,47097.59,27,3,No,Delayed,Retailer,No,0
1252,419115,75440.7,57397.14,9,4,No,Delayed,Retailer,No,0
1253,160331,28859.58,32757.97,35,13,Yes,Delayed,Retailer,No,1
1254,108046,19448.28,18520.0,12,4,No,Delayed,Service,No,0
1255,403184,72573.12,62520.05,10,2,Yes,Delayed,Manufacturer,No,0
1256,346986,62457.48,57827.27,14,2,Yes,Delayed,Manufacturer,No,0
1257,332959,59932.62,88105.29,64,8,Yes,Delayed,Manufacturer,No,1
1258,89818,16167.24,11379.08,20,4,No,Delayed,Wholesaler,No,0
1259,436903,78642.54,68784.55,8,2,No,Delayed,Wholesaler,No,0
1260,239204,43056.72,34990.21,23,0,No,On_Time,Retailer,No,0
1261,151994,27358.92,24330.7,15,0,No,On_Time,Manufacturer,No,0
1262,436634,78594.12,152175.94,57,9,Yes,Delayed,Service,Yes,1
1263,176667,31800.06,26659.94,26,0,No,On_Time,Retailer,No,0
1264,24026,4324.68,4176.67,22,2,No,Delayed,Wholesaler,No,0
1265,232123,41782.14,64775.83,54,13,Yes,Delayed,Manufacturer,Yes,1
1266,336719,60609.42,56177.2,5,3,No,Delayed,Retailer,No,0
1267,382828,68909.04,66541.91,22,3,No,Delayed,Retailer,No,0
1268,244538,44016.84,36402.02,12,3,Yes,Delayed,Manufacturer,No,0
1269,198505,35730.9,29032.37,17,1,No,Delayed,Service,No,0
1270,296133,53303.94,46016.94,12,3,No,Delayed,Service,No,0
1271,361193,65014.74,76464.41,49,8,Yes,Delayed,Service,Yes,1
1272,225558,40600.44,62988.26,56,9,Yes,Delayed,Manufacturer,No,1
1273,205490,36988.2,47363.3,66,14,Yes,Delayed,Retailer,Yes,1
1274,197655,35577.9,69259.35,59,8,Yes,Delayed,Retailer,Yes,1
1275,350912,63164.16,56052.28,14,4,No,Delayed,Service,No,0
1276,355158,63928.44,48523.1,6,2,No,Delayed,Wholesaler,No,0
1277,55619,10011.42,14963.18,49,7,No,Delayed,Wholesaler,Yes,1
1278,195639,35215.02,24736.36,27,2,No,Delayed,Service,No,0
1279,65863,11855.34,8729.21,11,3,No,Delayed,Wholesaler,No,0
1280,145203,26136.54,33701.92,51,8,Yes,Delayed,Service,Yes,1
1281,159335,28680.3,35547.3,52,10,Yes,Delayed,Manufacturer,Yes,1
1282,144445,26000.1,24051.79,9,1,No,Delayed,Service,No,0
1283,392891,70720.38,54922.81,27,0,No,On_Time,Manufacturer,Yes,0
1284,433350,78003.0,55846.56,28,1,No,Delayed,Wholesaler,No,0
1285,431234,77622.12,75890.87,21,1,No,Delayed,Service,No,0
1286,247068,44472.24,43451.44,13,3,No,Delayed,Manufacturer,No,0
1287,286175,51511.5,45520.48,16,3,No,Delayed,Retailer,No,0
1288,239602,43128.36,39847.2,20,3,No,Delayed,Retailer,No,0
1289,44700,8046.0,7637.0,21,4,No,Delayed,Service,No,0
1290,11881,2138.58,2017.73,26,3,Yes,Delayed,Service,No,0
1291,208303,37494.54,29179.62,10,3,No,Delayed,Retailer,No,0
1292,433148,77966.64,63452.05,20,4,No,Delayed,Manufacturer,No,0
1293,253896,45701.28,82585.81,61,7,No,Delayed,Wholesaler,No,1
1294,105408,18973.44,17156.73,9,3,No,Delayed,Service,No,0
1295,244196,43955.28,41526.32,11,3,No,Delayed,Wholesaler,No,0
1296,214720,38649.6,33843.6,17,0,No,On_Time,Wholesaler,No,0
1297,192220,34599.6,40979.73,37,6,No,Delayed,Manufacturer,No,1
1298,101911,18343.98,17589.42,19,2,No,Delayed,Service,No,0
1299,343272,61788.96,55405.96,27,1,No,Delayed,Service,No,0
1300,207478,37346.04,35921.22,22,4,No,Delayed,Wholesaler,No,0
1301,302820,54507.6,49798.7,20,0,No,On_Time,Manufacturer,No,0
1302,304067,54732.06,46125.94,25,3,No,Delayed,Retailer,No,0
1303,306629,55193.22,54033.69,16,2,No,Delayed,Retailer,No,0
1304,241182,43412.76,36049.57,17,0,No,On_Time,Service,No,0
1305,302107,54379.26,43847.65,12,1,No,Delayed,Wholesaler,No,0
1306,123502,22230.36,39914.48,61,14,Yes,Delayed,Manufacturer,Yes,1
1307,478535,86136.3,69636.92,22,4,No,Delayed,Manufacturer,No,0
1308,429048,77228.64,60175.35,23,2,No,Delayed,Service,No,0
1309,101198,18215.64,20717.54,68,5,Yes,Delayed,Wholesaler,Yes,1
1310,382673,68881.14,60167.16,9,2,No,Delayed,Service,No,0
1311,218547,39338.46,38148.11,24,1,No,Delayed,Retailer,No,0
1312,430539,77497.02,75732.45,7,2,No,Delayed,Manufacturer,No,0
1313,435767,78438.06,66788.5,16,1,No,Delayed,Service,No,0
1314,316063,56891.34,98940.83,60,12,Yes,Delayed,Retailer,Yes,1
1315,238129,42863.22,54455.75,53,10,Yes,Delayed,Manufacturer,Yes,1
1316,402551,72459.18,62446.01,7,4,No,Delayed,Service,No,0
1317,190494,34288.92,28441.61,13,4,No,Delayed,Retailer,No,0
1318,290926,52366.68,41887.86,16,3,No,Delayed,Manufacturer,No,0
1319,259432,46697.76,42229.69,7,1,No,Delayed,Retailer,No,0
1320,87525,15754.5,11792.81,5,3,No,Delayed,Service,No,0
1321,29309,5275.62,4573.45,18,0,No,On_Time,Wholesaler,No,0
1322,134997,24299.46,23149.5,20,3,No,Delayed,Retailer,No,0
1323,88484,15927.12,14810.23,26,2,No,Delayed,Wholesaler,No,0
1324,305920,55065.6,39821.54,15,4,No,Delayed,Service,No,0
1325,401716,72308.88,87265.12,67,9,Yes,Delayed,Retailer,Yes,1
1326,417227,75100.86,65543.85,15,3,No,Delayed,Retailer,No,0
1327,453258,81586.44,74201.65,26,3,Yes,Delayed,Retailer,No,0
1328,303561,54640.98,44846.34,19,1,No,Delayed,Manufacturer,No,0
1329,125584,22605.12,18722.02,12,4,No,Delayed,Service,No,0
1330,189689,34144.02,27334.97,25,0,No,On_Time,Manufacturer,No,0
1331,57111,10279.98,7651.65,21,0,No,On_Time,Service,No,0
1332,88672,15960.96,22704.48,35,7,Yes,Delayed,Wholesaler,Yes,1
1333,252318,45417.24,42265.95,17,0,No,On_Time,Retailer,No,0
1334,497429,89537.22,79703.86,21,0,No,On_Time,Service,No,0
1335,152867,27516.06,21185.61,22,1,No,Delayed,Wholesaler,No,0
1336,401180,72212.4,55077.49,16,2,No,Delayed,Wholesaler,No,0
1337,99424,17896.32,30126.89,49,8,Yes,Delayed,Manufacturer,No,1
1338,421495,75869.1,59898.85,21,2,Yes,Delayed,Service,No,0
1339,381852,68733.36,58345.35,18,4,No,Delayed,Service,No,0
1340,240183,43232.94,32161.31,20,3,No,Delayed,Service,No,0
1341,146385,26349.3,22554.25,26,2,No,Delayed,Retailer,No,0
1342,325143,58525.74,41790.89,16,2,No,Delayed,Wholesaler,No,0
1343,63218,11379.24,8256.6,10,1,No,Delayed,Service,No,0
1344,229707,41347.26,34082.26,17,4,No,Delayed,Manufacturer,No,0
1345,127229,22901.22,16720.91,27,1,No,Delayed,Retailer,No,0
1346,407768,73398.24,57718.26,24,2,No,Delayed,Service,No,0
1347,367776,66199.68,59253.65,8,0,No,On_Time,Manufacturer,No,0
1348,53461,9622.98,7923.18,5,3,No,Delayed,Wholesaler,No,0
1349,430602,77508.36,71187.79,13,3,No,Delayed,Retailer,No,0
1350,122752,22095.36,17350.56,13,1,No,Delayed,Wholesaler,No,0
1351,307843,55411.74,47266.68,29,3,No,Delayed,Manufacturer,No,0
1352,357160,64288.8,116844.25,59,11,Yes,Delayed,Manufacturer,Yes,1
1353,149379,26888.22,21348.56,14,2,No,Delayed,Manufacturer,No,0
1354,358844,64591.92,50723.3,21,1,No,Delayed,Wholesaler,No,0
1355,332554,59859.72,42562.04,21,2,No,Delayed,Wholesaler,No,0
1356,442783,79700.94,56042.89,16,2,No,Delayed,Wholesaler,No,0
1357,435659,78418.62,63625.08,11,1,No,Delayed,Service,No,0
1358,42766,7697.88,7008.2,19,3,No,Delayed,Manufacturer,No,0
1359,449358,80884.44,105302.38,65,9,Yes,Delayed,Retailer,Yes,1
1360,471595,84887.1,60622.68,19,3,No,Delayed,Service,No,0
1361,125657,22618.26,20030.35,24,3,No,Delayed,Wholesaler,No,0
1362,186355,33543.9,29997.15,24,2,No,Delayed,Manufacturer,No,0
1363,134954,24291.72,23199.19,24,0,No,On_Time,Retailer,No,0
1364,341999,61559.82,54807.64,9,3,No,Delayed,Wholesaler,No,0
1365,336284,60531.12,80014.15,58,8,Yes,Delayed,Wholesaler,No,1
1366,186968,33654.24,25725.24,23,3,No,Delayed,Service,No,0
1367,224303,40374.54,74366.49,47,9,Yes,Delayed,Retailer,Yes,1
1368,36553,6579.54,7444.39,63,14,Yes,Delayed,Retailer,Yes,1
1369,469922,84585.96,63214.24,7,0,No,On_Time,Service,No,0
1370,138180,24872.4,22759.28,24,1,No,Delayed,Manufacturer,No,0
